NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT224;617;Weiz;61744;Sankt Kathrein am Hauenstein ;340;307;647;01.01.2017
AT2;AT22;AT224;617;Weiz;61745;Sankt Kathrein am Offenegg ;570;512;1082;01.01.2017
AT2;AT22;AT224;617;Weiz;61746;Sankt Margarethen an der Raab ;2051;2020;4071;01.01.2017
AT2;AT22;AT224;617;Weiz;61748;Sinabelkirchen ;2118;2078;4196;01.01.2017
AT2;AT22;AT224;617;Weiz;61750;Strallegg ;999;958;1957;01.01.2017
AT2;AT22;AT224;617;Weiz;61751;Thannhausen ;1209;1239;2448;01.01.2017
AT2;AT22;AT224;617;Weiz;61756;Anger ;2076;2089;4165;01.01.2017
AT2;AT22;AT224;617;Weiz;61757;Birkfeld ;2509;2541;5050;01.01.2017
AT2;AT22;AT224;617;Weiz;61758;Fladnitz an der Teichalm ;909;897;1806;01.01.2017
AT2;AT22;AT224;617;Weiz;61759;Gersdorf an der Feistritz ;846;832;1678;01.01.2017
AT2;AT22;AT224;617;Weiz;61760;Gleisdorf ;5185;5525;10710;01.01.2017
AT2;AT22;AT224;617;Weiz;61761;Gutenberg-Stenzengreith ;887;865;1752;01.01.2017
AT2;AT22;AT224;617;Weiz;61762;Ilztal ;1078;1030;2108;01.01.2017
AT2;AT22;AT224;617;Weiz;61763;Passail ;2183;2103;4286;01.01.2017
AT2;AT22;AT224;617;Weiz;61764;Pischelsdorf am Kulm;1812;1863;3675;01.01.2017
AT2;AT22;AT224;617;Weiz;61765;Sankt Ruprecht an der Raab ;2591;2669;5260;01.01.2017
AT2;AT22;AT224;617;Weiz;61766;Weiz ;5540;5968;11508;01.01.2017
AT2;AT22;AT226;620;Murtal;62007;Fohnsdorf ;3686;4029;7715;01.01.2017
AT2;AT22;AT226;620;Murtal;62008;Gaal ;688;700;1388;01.01.2017
AT2;AT22;AT226;620;Murtal;62010;Hohentauern ;204;210;414;01.01.2017
AT2;AT22;AT226;620;Murtal;62014;Kobenz ;913;921;1834;01.01.2017
AT2;AT22;AT226;620;Murtal;62021;Pusterwald ;247;217;464;01.01.2017
AT2;AT22;AT226;620;Murtal;62026;Sankt Georgen ob Judenburg ;425;418;843;01.01.2017
AT2;AT22;AT226;620;Murtal;62032;Sankt Peter ob Judenburg ;569;541;1110;01.01.2017
AT2;AT22;AT226;620;Murtal;62034;Seckau ;651;628;1279;01.01.2017
AT2;AT22;AT226;620;Murtal;62036;Unzmarkt-Frauenburg ;677;685;1362;01.01.2017
AT2;AT22;AT226;620;Murtal;62038;Zeltweg ;3646;3661;7307;01.01.2017
AT2;AT22;AT226;620;Murtal;62039;Lobmingtal;919;923;1842;01.01.2017
AT2;AT22;AT226;620;Murtal;62040;Judenburg ;4845;5218;10063;01.01.2017
AT2;AT22;AT226;620;Murtal;62041;Knittelfeld ;6162;6496;12658;01.01.2017
AT2;AT22;AT226;620;Murtal;62042;Obdach ;1947;1876;3823;01.01.2017
AT2;AT22;AT226;620;Murtal;62043;Pöls-Oberkurzheim  ;1491;1511;3002;01.01.2017
AT2;AT22;AT226;620;Murtal;62044;Pölstal;1325;1385;2710;01.01.2017
AT2;AT22;AT226;620;Murtal;62045;Sankt Marein-Feistritz;1033;1007;2040;01.01.2017
AT2;AT22;AT226;620;Murtal;62046;Sankt Margarethen bei Knittelfeld ;1396;1372;2768;01.01.2017
AT2;AT22;AT226;620;Murtal;62047;Spielberg ;2633;2677;5310;01.01.2017
AT2;AT22;AT226;620;Murtal;62048;Weißkirchen in Steiermark ;2440;2470;4910;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62105;Breitenau am Hochlantsch ;864;856;1720;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62115;Krieglach ;2574;2720;5294;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62116;Langenwang ;1915;1953;3868;01.01.2017
