NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT224;617;Weiz;61728;Miesenbach bei Birkfeld ;99;130;120;186;104;59;698;01.01.2017
AT2;AT22;AT224;617;Weiz;61729;Mitterdorf an der Raab ;309;331;403;524;318;175;2060;01.01.2017
AT2;AT22;AT224;617;Weiz;61730;Mortantsch ;354;354;424;488;295;202;2117;01.01.2017
AT2;AT22;AT224;617;Weiz;61731;Naas ;202;242;250;360;202;101;1357;01.01.2017
AT2;AT22;AT224;617;Weiz;61740;Puch bei Weiz ;307;330;417;509;328;204;2095;01.01.2017
AT2;AT22;AT224;617;Weiz;61741;Ratten ;159;200;180;269;207;153;1168;01.01.2017
AT2;AT22;AT224;617;Weiz;61743;Rettenegg ;106;118;113;169;132;111;749;01.01.2017
AT2;AT22;AT224;617;Weiz;61744;Sankt Kathrein am Hauenstein ;96;109;110;164;81;87;647;01.01.2017
AT2;AT22;AT224;617;Weiz;61745;Sankt Kathrein am Offenegg ;130;184;175;283;187;123;1082;01.01.2017
AT2;AT22;AT224;617;Weiz;61746;Sankt Margarethen an der Raab ;658;625;865;910;608;405;4071;01.01.2017
AT2;AT22;AT224;617;Weiz;61748;Sinabelkirchen ;658;765;885;1032;524;332;4196;01.01.2017
AT2;AT22;AT224;617;Weiz;61750;Strallegg ;301;346;392;435;317;166;1957;01.01.2017
AT2;AT22;AT224;617;Weiz;61751;Thannhausen ;381;424;458;571;409;205;2448;01.01.2017
AT2;AT22;AT224;617;Weiz;61756;Anger ;606;678;804;998;649;430;4165;01.01.2017
AT2;AT22;AT224;617;Weiz;61757;Birkfeld ;693;898;881;1198;827;553;5050;01.01.2017
AT2;AT22;AT224;617;Weiz;61758;Fladnitz an der Teichalm ;288;312;344;428;248;186;1806;01.01.2017
AT2;AT22;AT224;617;Weiz;61759;Gersdorf an der Feistritz ;254;274;334;405;243;168;1678;01.01.2017
AT2;AT22;AT224;617;Weiz;61760;Gleisdorf ;1555;1855;2314;2450;1523;1013;10710;01.01.2017
AT2;AT22;AT224;617;Weiz;61761;Gutenberg-Stenzengreith ;282;267;360;458;244;141;1752;01.01.2017
AT2;AT22;AT224;617;Weiz;61762;Ilztal ;299;319;440;513;333;204;2108;01.01.2017
AT2;AT22;AT224;617;Weiz;61763;Passail ;610;748;748;1046;651;483;4286;01.01.2017
AT2;AT22;AT224;617;Weiz;61764;Pischelsdorf am Kulm;564;577;757;861;576;340;3675;01.01.2017
AT2;AT22;AT224;617;Weiz;61765;Sankt Ruprecht an der Raab ;869;918;1194;1182;723;374;5260;01.01.2017
AT2;AT22;AT224;617;Weiz;61766;Weiz ;1490;1981;2178;2726;1815;1318;11508;01.01.2017
AT2;AT22;AT226;620;Murtal;62007;Fohnsdorf ;899;1176;1268;1858;1380;1134;7715;01.01.2017
AT2;AT22;AT226;620;Murtal;62008;Gaal ;234;185;267;301;250;151;1388;01.01.2017
AT2;AT22;AT226;620;Murtal;62010;Hohentauern ;38;49;69;112;81;65;414;01.01.2017
AT2;AT22;AT226;620;Murtal;62014;Kobenz ;260;273;372;451;291;187;1834;01.01.2017
AT2;AT22;AT226;620;Murtal;62021;Pusterwald ;65;63;79;115;74;68;464;01.01.2017
AT2;AT22;AT226;620;Murtal;62026;Sankt Georgen ob Judenburg ;113;110;140;237;139;104;843;01.01.2017
AT2;AT22;AT226;620;Murtal;62032;Sankt Peter ob Judenburg ;148;174;213;266;185;124;1110;01.01.2017
AT2;AT22;AT226;620;Murtal;62034;Seckau ;203;194;219;308;212;143;1279;01.01.2017
AT2;AT22;AT226;620;Murtal;62036;Unzmarkt-Frauenburg ;186;181;247;320;234;194;1362;01.01.2017
AT2;AT22;AT226;620;Murtal;62038;Zeltweg ;881;1199;1282;1768;1302;875;7307;01.01.2017
AT2;AT22;AT226;620;Murtal;62039;Lobmingtal;269;262;340;476;294;201;1842;01.01.2017
AT2;AT22;AT226;620;Murtal;62040;Judenburg ;1139;1593;1728;2434;1787;1382;10063;01.01.2017
AT2;AT22;AT226;620;Murtal;62041;Knittelfeld ;1632;2249;2207;2958;2150;1462;12658;01.01.2017
AT2;AT22;AT226;620;Murtal;62042;Obdach ;527;667;686;904;624;415;3823;01.01.2017
AT2;AT22;AT226;620;Murtal;62043;Pöls-Oberkurzheim  ;359;436;472;777;517;441;3002;01.01.2017
AT2;AT22;AT226;620;Murtal;62044;Pölstal;329;420;417;673;470;401;2710;01.01.2017
AT2;AT22;AT226;620;Murtal;62045;Sankt Marein-Feistritz;365;269;419;498;304;185;2040;01.01.2017
AT2;AT22;AT226;620;Murtal;62046;Sankt Margarethen bei Knittelfeld ;361;426;494;724;470;293;2768;01.01.2017
AT2;AT22;AT226;620;Murtal;62047;Spielberg ;736;746;1035;1331;995;467;5310;01.01.2017
AT2;AT22;AT226;620;Murtal;62048;Weißkirchen in Steiermark ;694;758;850;1261;856;491;4910;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62105;Breitenau am Hochlantsch ;207;197;257;396;362;301;1720;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62115;Krieglach ;714;802;970;1246;873;689;5294;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62116;Langenwang ;459;587;689;960;706;467;3868;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62125;Pernegg an der Mur ;314;355;411;599;409;290;2378;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62128;Sankt Lorenzen im Mürztal ;522;548;680;910;567;380;3607;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62131;Spital am Semmering ;147;250;212;398;326;217;1550;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62132;Stanz im Mürztal ;255;269;343;450;327;185;1829;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62135;Turnau ;207;219;254;340;299;220;1539;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62138;Aflenz ;280;359;377;639;463;309;2427;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62139;Bruck an der Mur ;1844;2453;2791;3848;2909;2005;15850;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62140;Kapfenberg ;3052;3726;4168;5407;4074;2577;23004;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62141;Kindberg ;965;1191;1411;1994;1487;1082;8130;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62142;Mariazell ;425;522;594;966;809;570;3886;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62143;Mürzzuschlag ;1043;1300;1391;1995;1626;1237;8592;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62144;Neuberg an der Mürz ;298;407;394;625;535;359;2618;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62145;Sankt Barbara im Mürztal;713;928;1084;1622;1307;983;6637;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62146;Sankt Marein im Mürztal ;398;402;573;604;406;324;2707;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62147;Thörl ;248;313;394;556;446;354;2311;01.01.2017
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62148;Tragöß-Sankt Katharein ;218;258;307;475;380;249;1887;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62202;Bad Blumau ;253;283;322;376;241;149;1624;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62205;Buch-Sankt Magdalena;315;338;424;548;353;197;2175;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62206;Burgau ;128;169;152;281;177;144;1051;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62209;Ebersdorf ;189;215;264;318;184;87;1257;01.01.2017
